Address,Allocation %
0x757917aa3c6552b2e187c3b57e3e39395b71eea5,0.04270825527%
0x5ae71b6c3182c447f33067cee4906f3f777eb9b0,0.04263366657%
0xad5fe2c49fa171d23064b09379facd1e0586e4b3,0.04247408924%
0x1f0160959d5b9773c9bfd669bee6ee443a3ff4ca,0.04230980604%
0xc02d68b1287534d8d12a9be01a5b4ef5a1771ba3,0.04230904254%
0xedec7e3fd2cfb53507fd816ffe0fd9ccd407ffd3,0.04225314721%
0x4615f3ecde11edd8f624895eba29793a0d7508b3,0.04221608840%
0xc89ec9261841eaccbdfe34484415e00c0951ffc4,0.04219469540%
0x90e42fa8351e93fbad25dab071255156c430db33,0.04216495357%
0x481427db49fc515c4243f13293a7ee6c11bf0a82,0.04206248529%
0xbca534f0b8a3b841da279d9a472dded2ecafdf85,0.04195610292%
0xe558361e38d9e9880e83e0af50d6509c51b08422,0.04194883237%
0x28707b01f5c525a867b0b523558ee2e8cda2c4a4,0.04193097576%
0x23f981e6dc851c85038de131afd0aa6bdec79f03,0.04192968292%
0xa96a12c95160d098e68f9a830d440bffcf751e9b,0.04189452828%
0x9bb54b42fa50131905897899873bd15fb3c02ad5,0.04186695498%
0x8e56b7d18bbe474b927f198253d250c764f5a6cb,0.04186450223%
0x8b3c734cf5cf6fca55aa4a048fdd35662898f0cb,0.04181879917%
0xdc881040eeae22c1a3385f26efbee6759bc12c89,0.04180252520%
0x99c2e2b7637947d6034c9ecdc3b037ff5ab2af21,0.04179913323%
0xaba721d3a3c37943f65f2747cec31a215427bf34,0.04179879849%
0xe2bd93a31a33f393635ecc8d371920adcc3b7277,0.04176539100%
0x436bb9e1f02c9ca7164afb5753c03c071430216d,0.04175056037%
0x0577e2466b7e5fae55fdc6389f514969779e2563,0.04174567820%
0x6a2044ce978f41132f7f409dd68f0eb2ef8adfa2,0.04172062955%
0x20017985c762a38a473d1e20673e875d9ad0d4dc,0.04167633468%
0xc39cb2b6ff8b9db244af26e36947b7285a916ccf,0.04166597013%
0xcf5a3096503763b45564a61585af5ea2cf7e6116,0.04164442361%
0xe63f918a2cafb22a1e05803d97077300477b522c,0.04164429116%
0x9ffe669c32ced95a688f381ce85f82b71ad7bb73,0.04164212128%
0x733e824d7e4433e8490c605b3cdd9929aa1a1d7c,0.04163912657%
0xa315cbb4815d6dccec9fe0c0798e6f1eac9cb20f,0.04163890161%
0x8029c32587b8558df689a0560e3ccfb00122e7a2,0.04163758348%
0x4438ba15b226c50e5a128111b94e6a132f6b7ecd,0.04163475017%
0x5104705d8cda57803008674b1776a4d883c85743,0.04160821254%
0x246d10037052ce40aefdb88b3453eb9fca52c563,0.04160061178%
0x63397572dc28c98949685c70b0a784010331ad8c,0.04159370862%
0x6dfbb14db2a1310812070f05afa87e0eeebb0a35,0.04158045227%
0xfe3ca1786096c1b762b6f8f1c54515948b4ee403,0.04157044352%
0xed0d2ae5b21bdc7cddf088af9738f9957ee3acac,0.04155685522%
0xa44da11cd76bce1bec72c015c799f0afcecde8da,0.04152608649%
0x669d24df6d0245751075785dc4769169a3c33e98,0.04152205160%
0xad7a2f9b7303880dabd4664024306f9c6b1c7e72,0.04150836323%
0x688664ce2c58f99491ec3088420c3c42d5c46035,0.04150600302%
0x9f7daa3029445df077c02b7c019143c8982e60c0,0.04150211011%
0xb176a11419b842b317b5ec32e87465abee4f9dc7,0.04148831101%
0x0cf3341a6d9bd5f29c5352ba2822f8f1ad971744,0.04148574146%
0xc8f2699a88fe0b4a7b772d3b6814ba059b2ee1b6,0.04146725394%
0x65a313fb7fcd48f28d9574c5f237e0f2c967e18f,0.04128970249%
0x8366bc75c14c481c93aac21a11183807e1de0630,0.04034157134%
0xeee072349a531cbd66ba9fd1a6d55197a1fc022b,0.03997670490%
0x10c3a22f84cf6a789b7e526ab2c6bf2c7a01fadf,0.03981858067%
0x36ab3c6d200c068076a56252b2b3f731112da862,0.03969969130%
0xb34a872a5a1a19bd5b9efe9a90f35586c4ee6077,0.03943258258%
